app_id,sequence,label
benign012,self-defined android java self-defined obfuscated obfuscated obfuscated java xml java android xml java android android java xml java google android self-defined java java self-defined android java java self-defined google self-defined java android java self-defined obfuscated android java android google android android java java android xml android java self-defined android java java self-defined java android xml java javax self-defined android java android google java self-defined self-defined obfuscated self-defined android java self-defined obfuscated android xml java,0
malware218,android google self-defined android google android android java self-defined obfuscated android xml java java android java self-defined obfuscated android self-defined java java java android xml java android self-defined android java java xml android android java self-defined obfuscated android java javax android google java android android android google java android android self-defined android xml javax android android java android android android java self-defined android self-defined xml android xml self-defined obfuscated obfuscated java android java self-defined obfuscated self-defined java apache self-defined android self-defined android java android google java android java android google android xml android xml android java android xml java xml xml java self-defined android java obfuscated obfuscated obfuscated xml self-defined android java java javax java java javax self-defined android java android google java android google obfuscated android java self-defined android google android java android google java google apache android android google java android android java self-defined google android java,1
benign070,google android java self-defined obfuscated java google android xml java xml self-defined self-defined android java google self-defined android java java self-defined android xml android self-defined android java java android android java self-defined obfuscated android java android google self-defined java xml java self-defined self-defined android java xml android java javax android self-defined javax java android java android xml java self-defined android java java xml self-defined android java xml java java xml apache xml obfuscated android java android google android self-defined java android self-defined java self-defined self-defined android java android android java self-defined obfuscated self-defined android android self-defined android java self-defined self-defined xml java java xml android java android self-defined android self-defined google google java java java android xml java apache java java java self-defined android java self-defined self-defined java android self-defined java java android self-defined java obfuscated android self-defined java javax javax,0
malware209,android java android self-defined javax self-defined android java obfuscated java android self-defined google android java google obfuscated obfuscated java android android xml java google self-defined java android xml java xml java self-defined apache android java android google android android java self-defined obfuscated java android xml java java xml android,1
benign138,java self-defined self-defined google self-defined google android android self-defined java java xml apache xml apache android java self-defined obfuscated javax android java xml self-defined obfuscated self-defined android java self-defined obfuscated self-defined obfuscated self-defined google self-defined google java javax java android java self-defined android self-defined java java xml java self-defined android java xml android self-defined android java self-defined android java android xml java javax java xml android java android google self-defined android java xml android android self-defined android self-defined google java java javax android java apache java google java self-defined self-defined android google android java android self-defined java javax android self-defined self-defined obfuscated google self-defined android java java android self-defined java java xml self-defined android java javax android java self-defined obfuscated apache javax java android android google java obfuscated java apache android java android google self-defined java,0
malware089,android android java self-defined obfuscated android android self-defined android xml apache java android self-defined google self-defined android java google self-defined android java java obfuscated obfuscated java android xml java android android android android java android android java self-defined obfuscated self-defined self-defined android self-defined java android google obfuscated android java android obfuscated obfuscated java android google android java self-defined obfuscated self-defined obfuscated obfuscated google android java self-defined obfuscated android java self-defined obfuscated obfuscated java android java xml google self-defined android android google,1
malware047,self-defined self-defined android java android self-defined java android xml java self-defined android android google java android self-defined obfuscated self-defined java android xml java self-defined google javax java javax xml self-defined android java self-defined android android google java xml google java android self-defined self-defined android java self-defined google android xml java xml android self-defined self-defined java java android xml java self-defined google android,1
benign196,google xml google java android java self-defined obfuscated google self-defined android java java android self-defined java java xml android android self-defined android java java self-defined java java android java obfuscated java xml apache android java android google android xml android java self-defined obfuscated google java java android self-defined java android java android xml java android android google java self-defined self-defined google android self-defined obfuscated google self-defined android self-defined java self-defined self-defined obfuscated self-defined self-defined java self-defined android java java android xml java android,0
benign039,apache xml self-defined java java java self-defined obfuscated java android xml java self-defined android java android self-defined android java android java android google java self-defined google android java android google google android xml apache java javax android google xml java self-defined android java android xml apache self-defined android java java,0
malware146,android android google java android google java java android self-defined google java xml java android self-defined javax xml android java self-defined obfuscated java android obfuscated java android xml java android google java android google android java java android android xml android android google java android android google java javax java google android google java android xml self-defined android java java android xml java android self-defined android java android google android self-defined android java android xml java self-defined java self-defined android java android java android google self-defined android android java xml android java android google android java java java android self-defined obfuscated java android google java java self-defined java self-defined google android self-defined java javax java android java android google self-defined obfuscated android obfuscated self-defined google android java self-defined obfuscated java xml java javax java android,1
malware087,google java xml apache xml java android xml java java java javax android java android google android java android self-defined self-defined android java xml java android xml java javax android google android google android android android android java self-defined obfuscated java self-defined self-defined self-defined obfuscated java java android self-defined obfuscated android google android self-defined android java self-defined obfuscated java android java java apache java android android java android google android java android google obfuscated self-defined self-defined android java self-defined java android self-defined android google java android xml android obfuscated obfuscated java android java self-defined obfuscated obfuscated obfuscated android xml xml java java self-defined android google java android javax self-defined self-defined android java javax java xml apache xml xml google self-defined android self-defined obfuscated self-defined self-defined self-defined obfuscated obfuscated google apache android java java android java self-defined obfuscated self-defined java android xml self-defined google android apache self-defined,1
malware133,android self-defined self-defined obfuscated self-defined google android android java android google self-defined java java self-defined obfuscated java xml java android xml java self-defined google android java self-defined obfuscated self-defined android java xml java android xml java java java android android java android google self-defined android java javax android android android java android google android google android google java android google java android java android java android xml android android google java android self-defined android self-defined self-defined obfuscated xml apache android xml google self-defined android google java android java self-defined java self-defined self-defined java javax android android java self-defined obfuscated self-defined android android xml android android android java self-defined java xml,1
